Tender Subject,Tender Number,Tender Link,TENDER TYPE,CATEGORY/SECTOR,PURCHASING AUTHORITY,PURCHASE BEFORE,CLOSING DATE
DEVELOPMENT OF DARKULAIB GARDEN 1046 PROJECT,IN/NAM/03/2024,https://www.tenderboard.gov.bh/TenderDetails/?id=3/2024/NAM (IN/NAM/03/2024),INTERNAL,GENERAL,NORTHERN AREA MUNICIPALITY,"09, JUL,2024","22 JUL,2024"
TWO (02) YEARS LTPA FOR SUPPLY OF LED SYSTEM,TPC-2066-2024,https://www.tenderboard.gov.bh/TenderDetails/?id=98/2024/TWR (TPC-2066-2024),INTERNAL,GENERAL,BAPCO UPSTREAM W.L.L,"01, JUL,2024","09 JUL,2024"
HOT BACKUP SERVER,73962 (47),https://www.tenderboard.gov.bh/TenderDetails/?id=13/2024/BAPCO (73962 (47)),INTERNAL,GENERAL,BAPCO REFINING,"24, JUN,2024","02 JUL,2024"
SUPPLY OF FITTINGS,TPC-2121-2024,https://www.tenderboard.gov.bh/TenderDetails/?id=97/2024/TWR (TPC-2121-2024),INTERNAL,GENERAL,BAPCO UPSTREAM W.L.L,"22, JUL,2024","30 JUL,2024"
REHABILITATION OF AL-HALLA HANGING GARDEN SITUATED IN BLOCK 216 IN MUHARRAQ,MUH/MM/IN/12/2024,https://www.tenderboard.gov.bh/TenderDetails/?id=10/2024/MUHM (MUH/MM/IN/12/2024),INTERNAL,GENERAL,MUHARRAQ MUNICIPALITY,"25, JUN,2024","01 JUL,2024"
PURCHASE OF COMMUNICATION DEVICES FOR OT NETWORK INFRASTRUCTURE,Q73083 (56),https://www.tenderboard.gov.bh/TenderDetails/?id=477/2024/BTB (Q73083  (56)),EXTERNAL,GENERAL,BAPCO REFINING,"22, JUN,2024","30 JUN,2024"
CONSTRUCTING AND INVESTING IN A SCAFFOLDING ADVERTISING SITE,IN/MUN/SAM/A3/2024,https://www.tenderboard.gov.bh/TenderDetails/?id=10/2024/SAM (IN/MUN/SAM/A3/2024),INTERNAL,GENERAL,SOUTHERN AREA MUNICIPALITY,"26, JUN,2024","03 JUL,2024"
935 GARDEN DEVELOPMENT,IN/MUN/SAM/10/2024,https://www.tenderboard.gov.bh/TenderDetails/?id=9/2024/SAM (IN/MUN/SAM/10/2024),INTERNAL,GENERAL,SOUTHERN AREA MUNICIPALITY,"23, JUN,2024","02 JUL,2024"
DEVELOPMENT OF ASKAR COAST,IN/MUN/SAM/4/2024,https://www.tenderboard.gov.bh/TenderDetails/?id=8/2024/SAM (IN/MUN/SAM/4/2024),INTERNAL,GENERAL,SOUTHERN AREA MUNICIPALITY,"23, JUN,2024","24 JUN,2024"
LABORATORY EQUIPMENT CALIBRATION AND MAINTENANCE SERVICES,SES-24/0001,https://www.tenderboard.gov.bh/TenderDetails/?id=476/2024/BTB (SES-24/0001),EXTERNAL,GENERAL,MINISTRY OF WORKS,"13, JUL,2024","21 JUL,2024"
CONSTRUCTING AND INVESTING IN LED SCREEN ADVERTISING SITE,IN/MUN/SAM/A4/2024,https://www.tenderboard.gov.bh/TenderDetails/?id=7/2024/SAM (IN/MUN/SAM/A4/2024),INTERNAL,GENERAL,SOUTHERN AREA MUNICIPALITY,"26, JUN,2024","03 JUL,2024"
